CLAIM_ID,PUBLIC_CLAIM,SOURCE_ARTIFACT,SOURCE_LOCATION,EXACT_PROOF,REAL / INTEGRATED / SYNTHETIC / SHADOW / REPRESENTATIVE,PUBLIC_SAFE,NEEDS_REDACTION,WEBSITE_DESTINATION,GITHUB_DESTINATION,STATUS
W1-001,HYDRA has executed a bounded T1→T2→T3→T4→T5 contract path in a controlled shadow integration test.,CI_TEST_004_REPAIRED_RERUN_RESULT_V004.json,root.overall; root.boundary; checks[T1_TO_T2_TO_T3_TO_T4_TO_T5_PATH]; root.canonical_baseline_mutated,"OVERALL=PASS_REPAIRED_CI_TEST_004; BOUNDARY=SYNTHETIC_SHADOW_ONLY; T1_TO_T2_TO_T3_TO_T4_TO_T5_PATH pass=true with THREAD1_CONTRACTS, THREAD2_ADVERSARIAL, THREAD3_GOLDEN, THREAD4_LINEAGE, THREAD5_RELEASE_GATE; canonical_baseline_mutated=false.",SHADOW,YES,YES,Proof page → Contract seams; supporting evidence beneath architecture diagram,docs/verification/ci-test-004.md,PUBLIC_READY_WITH_SCOPE_LABEL
W1-002,"Bounded behavioral seam tests preserve replay identity, lineage stability, reverse/why traceability, fault localization, and stable release-gate reasons.",CI_TEST_005_SUMMARY.txt,T3/T4/T5 verification fields and OVERALL,T3_EXACT_REPLAY_MATCH=True; T3_LINEAGE_DIGEST_STABLE=True; T4_FAULT_LOCALIZED=True; T4_REVERSE_TRACE_COMPLETE=True; T4_WHY_TRACE_COMPLETE=True; T5_BLOCKER_IF_UNRESOLVED=True; T5_FAULT_LOCALIZED=True; T5_GATE_REASON_STABLE=True; FAILURE_COUNT=0; OVERALL=PASS_FIRST_BEHAVIORAL_CROSS_THREAD_SEAM; BOUNDARY=SYNTHETIC_SHADOW_ONLY; LIVE_HYDRA_DATA_USED=NONE.,SHADOW,YES,YES,Proof page → Lineage / traceability; architecture step 6 support,docs/verification/ci-test-005.md,PUBLIC_READY_WITH_SCOPE_LABEL
W1-003,A defect-scoped repair restored quarantine propagation and downstream release blocking without mutating the sealed baseline.,CI_TEST_006_REPAIRED_RERUN_SUMMARY_V002.txt,OVERALL; BOUNDARY; quarantine/release checks; immutability checks,OVERALL=PASS_REPAIRED_CI_TEST_006; FAILURE_COUNT=0; BOUNDARY=SYNTHETIC_SHADOW_ONLY; AUTHORITY_MODE=DEFECT_SCOPED_REPAIR_OVERLAY; T2_TO_T4_QUARANTINE_PATH=PASS; T4_TO_T5_RELEASE_BLOCK_PATH=PASS; EXACT_TARGET_INTEGRATED_QUARANTINE_DISPOSITION_PROVEN=PASS; BATCH60_IMMUTABILITY_PIN=PASS; V110_MODIFIED=NO.,SHADOW,YES,YES,Proof page → Defect discovery / minimum repair / rerun,docs/verification/ci-test-006.md,PUBLIC_READY_WITH_SCOPE_LABEL
W1-004,The repaired quarantine behavior reproduced deterministically across independent reruns.,CI_TEST_007_SUMMARY_V001.txt,replay comparison fields and OVERALL,OVERALL=PASS_REPAIRED_QUARANTINE_REPLAY_DETERMINISM; FAILURE_COUNT=0; BOUNDARY=SYNTHETIC_SHADOW_ONLY; CROSS_PROCESS_REPLAY_A_B_BYTE_IDENTICAL=PASS; REPLAY_A_EXACT_STORED_OVERLAY_MATCH=PASS; REPLAY_B_EXACT_STORED_OVERLAY_MATCH=PASS; BATCH60_IMMUTABILITY_PIN=PASS.,SHADOW,YES,YES,Proof page → Deterministic rerun proof,docs/verification/ci-test-007.md,PUBLIC_READY_WITH_SCOPE_LABEL
W1-005,"HYDRA has a native T6 validator/field/temporal/leakage surface, but the exact Batch60 T5→T6 authoritative binding was not present in the audited evidence.",CI_TEST_008_NATIVE_T6_AUDIT_SUMMARY_V004.txt,NATIVE_* fields; EXACT_BATCH60_T5_BINDING_PRESENT; invention guardrails,OVERALL=PASS_NATIVE_T6_AUTHORITY_AUDIT; NATIVE_DISPOSITION=CONFIRMED_NATIVE_T6_EXISTS_REAL_BATCH60_T5_TO_T6_BINDING_ABSENT; NATIVE_VALIDATOR_PRESENT=PASS; NATIVE_FIELD_CONTRACT_PRESENT=PASS; NATIVE_REQUIRED_OPTIONAL_PRESENT=FAIL; NATIVE_TEMPORAL_PRESENT=PASS; NATIVE_LEAKAGE_PRESENT=PASS; EXACT_BATCH60_T5_BINDING_PRESENT=FAIL; SEMANTICS_INVENTED=NO; T5_IDENTITY_MAPPING_INVENTED=NO.,INTEGRATED,YES,YES,Proof page → Authority/admissibility gate; do not state 'T5→T6 works',docs/verification/ci-test-008-native-t6-audit.md,PUBLIC_READY_AFTER_REDACTION
W1-006,CI-008 fails closed rather than inventing missing semantic/admissibility values.,CI_TEST_008_V011_RESULT.json + CI_TEST_008_V012_RESULT.json,required_fields; semantic_values_invented; overall,"V011 overall=BLOCKED_V011_EXACT_AUTHORITATIVE_CASE_SOURCE_REQUIRED; required_fields=[object_type, subject_entity_id, as_of, confidence, evidence_ids]; semantic_values_invented=false. V012 overall=BLOCKED_V012_NO_COMPLETE_PER_FIELD_AUTHORITY_SET; semantic_values_invented=false.",SHADOW,YES,YES,Proof page → Fail-closed authority behavior,docs/verification/ci-test-008.md,PUBLIC_READY_WITH_SCOPE_LABEL
W1-007,"A deterministic authority search found zero complete admissibility cases among 1,206 nonblocked T5 cases, so the test remained blocked.",CI_TEST_008_V012_RESULT.json,authority_hit_count; complete_case_count; nonblocked_t5_count; deterministic_double_scan; overall,authority_hit_count=0; complete_case_count=0; nonblocked_t5_count=1206; deterministic_double_scan=true; identical run digests; overall=BLOCKED_V012_NO_COMPLETE_PER_FIELD_AUTHORITY_SET; semantic_values_invented=false; batch60_immutability_pin=true.,SHADOW,YES,YES,Proof page → Authority rejection example,docs/verification/ci-test-008.md,PUBLIC_READY_WITH_SCOPE_LABEL
W1-008,The source-authority registry passed 108/108 tests and its canonical representation reproduced under a stable hash.,N4_FINAL_CLOSEOUT_V004 / NYX_N4_FINAL_RETURN_V004,FINAL CLOSEOUT EVIDENCE; N4 CLOSED,N4_FINAL_STATUS=PASS_FINAL; N4_TESTS=108/108_PASS; N4_CANONICAL_HASH=PASS; N4_V004=PASS_FINAL_CLOSEOUT; N4_IMPLEMENTATION=COMPLETE; N4_CORE_MUTATION_REQUIRED=NO; N4_LIVE_HYDRA_DATA_USED=NONE.,INTEGRATED,YES,YES,Proof page → Source authority; architecture authority gate,docs/verification/n4-source-authority-registry.md,PUBLIC_READY_AFTER_REDACTION
W1-009,Source authority is evaluated through an explicit accept/reject seam rather than inferred from source presence alone.,N4_FINAL_CLOSEOUT_V004 / N4 registry tests,"N4_EXACT_SEAM and tests 003, 007, 011, 042, 043, 060, 087-090","Defined seam SourceAuthorityRegistry.evaluate_evidence(...)->AuthorityDecision; tests include no_trusted_source_explicit, weak_source_cannot_promote, unresolved_authority_rejects, adapter_existence_does_not_imply_authority, only_source_weak_does_not_become_authoritative, unknown_source_id_does_not_fabricate_source, provenance identity mismatch rejection, and malformed provenance fail-closed; all included in 108/108 PASS.",INTEGRATED,YES,YES,Proof page → Authority rules; safe replacement for broad 'identity resolution' language,docs/architecture/source-authority.md,PUBLIC_READY_AFTER_REDACTION
W1-010,The N1 semantic-classification seam is sealed with 38/38 passing checks and consumes canonical identity authority rather than minting a new identity.,NYX_W48-04_N1_SEAL_CLOSEOUT_RECEIPT_V001.zip + current N1 seal/reproof receipts,N1 sealed test summary; canonical identity authority fields,N1=38/38 PASS; canonical authority=INPUT_CASE_CONSTRAINT_ID; current adapter pin=e0f10276d32be1ce62826c7361bf54fcdf19dadbfe3f463c02e249fabc8ea888; semantics pin=4f4eb09088e890778d4b88f02b5c63bab4d69a4c84150fe162d891233992e7f5; current reproof reports N1_MUTATION=NONE and ONTOLOGY_EXTENSION=NO.,INTEGRATED,YES,YES,Proof page → Constraint semantic classification; not hero copy,docs/verification/n1-semantic-classification.md,PUBLIC_READY_AFTER_SANITIZED_RECEIPT_EXPORT
