CLAIM_ID,SURFACE,CATEGORY,PUBLIC_CLAIM,SOURCE_EVIDENCE,INITIAL_STATUS,REMEDIATION,FINAL_STATUS,FINAL_SCOPE_LABEL
PC-001,WEBSITE_HERO,positioning,HYDRA / MARKET INTELLIGENCE DATA PLATFORM,Real historical options canonicalization + governed Constraint/lineage architecture.,VERIFIED,KEEP,VERIFIED,PUBLIC POSITIONING
PC-002,WEBSITE_HERO,positioning,Turn fragmented market data into traceable intelligence.,Real canonicalization proves fragmented-data processing; CI-005 proves traceability in synthetic/shadow integration; constraint output is representative/non-live.,VERIFIED_WITH_LABEL,KEEP; retain scope labels in nearby proof sections.,VERIFIED_WITH_LABEL,MIXED: REAL + SYNTHETIC/SHADOW + REPRESENTATIVE
PC-003,WEBSITE_HERO,ingestion,Multi-source ingestion,"Public proof directly demonstrates many governed source files/records, but does not establish multiple independent providers as the meaning of “source.”",AMBIGUOUS,REWRITE badge to “Source-accounted ingestion.”,VERIFIED,REAL DATA CAPABILITY
PC-004,WEBSITE_HERO,contracts,Contract-bound handoffs,CI-008 pins an actual native T5→T6 contract and blocks when required fields are not authoritatively materialized.,VERIFIED_WITH_LABEL,KEEP.,VERIFIED_WITH_LABEL,SYNTHETIC/SHADOW INTEGRATION PROOF
PC-005,WEBSITE_HERO,lineage_release,Lineage + release gates,CI-005 proves lineage/reverse trace and blocker behavior; CI-008 proves fail-closed downstream admissibility.,VERIFIED_WITH_LABEL,KEEP.,VERIFIED_WITH_LABEL,SYNTHETIC/SHADOW INTEGRATION PROOF
PC-006,WEBSITE_HERO,architecture,Explainer implies market/reference/history ingestion are all currently proven as integrated input families.,"Current public proof directly proves market-data canonicalization and synthetic/shadow history/lineage behavior, not live/integrated ingestion of every named source family.",AMBIGUOUS,REWRITE explainer to separate market ingestion from governed identity/history/lineage layers.,VERIFIED_WITH_LABEL,CURRENT PUBLIC PROOF SCOPE
PC-007,WEBSITE_W2,ingestion,"3,353 source records discovered and loaded; 0 source errors.",Options canonicalizer v0.2.2 receipt.,VERIFIED,KEEP.,VERIFIED,REAL HISTORICAL DATA
PC-008,WEBSITE_W2,scale,"17,766,662 rows in; 17,766,662 canonical rows written.",Options canonicalizer v0.2.2 receipt.,VERIFIED,KEEP exact count.,VERIFIED,REAL HISTORICAL DATA
PC-009,WEBSITE_W2,normalization,Canonical output is paired with source manifest and quality summary.,"Canonicalizer receipt names canonical_path, manifest_path, quality_summary_path.",VERIFIED,KEEP.,VERIFIED,REAL HISTORICAL DATA
PC-010,WEBSITE_W2,contracts,"Native T5→T6 handoff requires upstream_object_id, object_type, subject_entity_id, as_of, confidence, evidence_ids, payload.",CI-TEST-008 V005 native contract pin.,VERIFIED_WITH_LABEL,KEEP synthetic/shadow integration scope.,VERIFIED_WITH_LABEL,SYNTHETIC/SHADOW
