CLAIM_ID,PUBLIC_CLAIM,SOURCE_ARTIFACT,SOURCE_LOCATION,EXACT_PROOF,EVIDENCE_CLASS,PUBLIC_SAFE,NEEDS_REDACTION,WEBSITE_DESTINATION,GITHUB_DESTINATION,STATUS
W1-C001,HYDRA has an integrated governed seam spanning T1 through T5.,CI_TEST_004_REPAIRED_RERUN_RESULT_V004.json,HYDRA CI-TEST-004 repaired rerun receipt (retrieved evidence library),overall=PASS_REPAIRED_CI_TEST_004; observed buckets THREAD1_CONTRACTS → THREAD2_ADVERSARIAL → THREAD3_GOLDEN → THREAD4_LINEAGE → THREAD5_RELEASE_GATE; failure_count=0,INTEGRATED / SYNTHETIC_SHADOW,YES,NO,Recruiter Proof Strip / Contract + Trace + Validate,README / Testing / Technical Proof,VERIFIED_WITH_LABEL
W1-C002,HYDRA verifies reverse references and preserves a pinned baseline during integrated seam testing.,CI_TEST_004_REPAIRED_RERUN_RESULT_V004.json,HYDRA CI-TEST-004 repaired rerun receipt,REVERSE_REFERENCE_VERIFICATION=PASS; BATCH60_IMMUTABILITY_PIN=PASS; CANONICAL_BASELINE_MUTATED=NO,INTEGRATED / SYNTHETIC_SHADOW,YES,NO,Trace / Lineage card,Testing / Integrity invariants,VERIFIED_WITH_LABEL
W1-C003,"HYDRA has behavioral seam tests for replay, lineage, reverse trace, fault localization, and release blocking across T3–T5.",BEHAVIORAL_SEAM_RECEIPT.json,CI_TEST_005_FIRST_BEHAVIORAL_CROSS_THREAD_SEAM result,T3_EXACT_REPLAY_MATCH=true; T3_LINEAGE_DIGEST_STABLE=true; T4_REVERSE_TRACE_COMPLETE=true; T4_WHY_TRACE_COMPLETE=true; T5_BLOCKER_IF_UNRESOLVED=true; failures=[],INTEGRATED / CONTROLLED_REBASELINE,YES,NO,Recruiter Proof Strip / Trace + Validate,README / Behavioral seam testing,VERIFIED_WITH_LABEL
W1-C004,HYDRA can quarantine a governed case and block its release downstream.,CI_TEST_006_REPAIRED_RERUN_SUMMARY_V002.txt,HYDRA CI-TEST-006 repaired rerun receipt,OVERALL=PASS_REPAIRED_CI_TEST_006; T2_TO_T4_QUARANTINE_PATH=PASS; T4_TO_T5_RELEASE_BLOCK_PATH=PASS; EXACT_TARGET_INTEGRATED_QUARANTINE_DISPOSITION_PROVEN=PASS,INTEGRATED / SYNTHETIC_SHADOW,YES,NO,Defect / Release Gate card,Testing / Quarantine + release gate,VERIFIED_WITH_LABEL
W1-C005,HYDRA uses defect-scoped minimum repair followed by rerun rather than broad speculative rewrites.,CI_TEST_006_REPAIRED_RERUN_SUMMARY_V002.txt,HYDRA CI-TEST-006 repaired rerun receipt,AUTHORITY_MODE=DEFECT_SCOPED_REPAIR_OVERLAY; FAILURE_COUNT=0; V110_MODIFIED=NO; BATCH60_IMMUTABILITY_PIN=PASS,INTEGRATED / SYNTHETIC_SHADOW,YES,NO,Defect → Resolution card,Engineering principles / Minimum repair,VERIFIED_WITH_LABEL
W1-C006,HYDRA checks deterministic replay across independent processes.,CI_TEST_007_SUMMARY_V001.txt,HYDRA CI-TEST-007 repaired quarantine replay receipt,OVERALL=PASS_REPAIRED_QUARANTINE_REPLAY_DETERMINISM; CROSS_PROCESS_REPLAY_A_B_BYTE_IDENTICAL=PASS; REPLAY_A_EXACT_STORED_OVERLAY_MATCH=PASS; REPLAY_B_EXACT_STORED_OVERLAY_MATCH=PASS,INTEGRATED / SYNTHETIC_SHADOW,YES,NO,Validate / Determinism receipt,Testing / Deterministic replay,VERIFIED_WITH_LABEL
W1-C007,HYDRA refuses to fabricate missing T5→T6 admissibility authority.,CI_TEST_008_V012_RESULT.json,HYDRA CI-TEST-008 V012 authority scan result,overall=BLOCKED_V012_NO_COMPLETE_PER_FIELD_AUTHORITY_SET; authority_hit_count=0; complete_case_count=0; semantic_values_invented=false; batch60_immutability_pin=true,INTEGRATED / AUTHORITY-GATED / SYNTHETIC_SHADOW,YES,YES,Authority / Blocked-not-fabricated proof card,Engineering principles / Explicit authority,VERIFIED_WITH_LABEL
W1-C008,"When required native fields are absent, HYDRA preserves the blocker instead of inventing semantic values.",CI_TEST_008_V011_RESULT.json,HYDRA CI-TEST-008 V011 result,"overall=BLOCKED_V011_EXACT_AUTHORITATIVE_CASE_SOURCE_REQUIRED; required_fields=[object_type, subject_entity_id, as_of, confidence, evidence_ids]; semantic_values_invented=false",INTEGRATED / AUTHORITY-GATED,YES,NO,Contract / Authority rejection,Data contracts / Fail-closed behavior,VERIFIED_WITH_LABEL
W1-C009,The retrieved integrated-test evidence is explicitly not production/live ML evidence.,CI_TEST_004_REPAIRED_RERUN_RESULT_V004.json; CI_TEST_007_SUMMARY_V001.txt; CI_TEST_008_RESULT_V001.json,Integrated test receipts,BOUNDARY=SYNTHETIC_SHADOW_ONLY; LIVE_HYDRA_DATA_USED=NONE where reported; CANONICAL_PROMOTION=NONE; BABY_ML_TRAINING=NONE; SERIOUS_ML=FROZEN,SYNTHETIC / SHADOW,YES,NO,Real vs Synthetic disclosure,README / Real vs synthetic,VERIFIED
W1-C010,HYDRA has canonical-identity safety rules for Constraint classification.,N1 work-unit contract / assignment artifacts,Retrieved N1 specification artifacts,"Specifications require classifier cannot mint canonical identity, cannot fabricate Constraint existence, and must preserve ambiguity/provenance. Execution receipt was not recovered in this W1 evidence pull.",CONTRACT / DESIGN REQUIREMENT,NO,NO,HOLD until execution receipt is recovered,"May document as design invariant only, clearly labeled",VERIFIED_WITH_LABEL
